id_camino,id_in_seq,current_state,goal_state,out_action,timesteps
3,0,"[0, 0, 1, 0, 0, 0]","[1803.122401792812, 17.013122788907488, 1.4348165791835377, 0.019416962607041486, 0.27939435882464825, 0.0403201529946117]",3,378.4146974946769
3,1,"[559.5548653512201, -64.43389144133145, 1.5469528870308702, 0.14278518106604685, -0.026724926328013165, 0.0011418132414958686]","[1803.122401792812, 17.013122788907488, 1.4348165791835377, 0.019416962607041486, 0.27939435882464825, 0.0403201529946117]",18,378.4146974946769
3,2,"[1164.1964930454405, -53.40232326740965, 1.6043396431734591, 0.2376280313606832, 0.1987401337410193, -0.04968493497971126]","[1803.122401792812, 17.013122788907488, 1.4348165791835377, 0.019416962607041486, 0.27939435882464825, 0.0403201529946117]",24,378.4146974946769
4,0,"[0, 0, 1, 0, 0, 0]","[1921.958733082358, -144.47483162936553, 1.6644004717744016, 0.22485848728644456, 0.09865401069566324, -0.05461152186489372]",2,378.4146974946769
4,1,"[669.1997063306001, -95.64383125719326, 1.6894554012413938, 0.12209118068908624, -0.024539620129299368, -0.001610730136986043]","[1921.958733082358, -144.47483162936553, 1.6644004717744016, 0.22485848728644456, 0.09865401069566324, -0.05461152186489372]",2,378.4146974946769
4,2,"[1341.229024587606, -174.45550217334582, 1.7817215752029594, 0.11989579551920738, -0.042485541658168424, -0.00018238008264934348]","[1921.958733082358, -144.47483162936553, 1.6644004717744016, 0.22485848728644456, 0.09865401069566324, -0.05461152186489372]",17,378.4146974946769
5,0,"[0, 0, 1, 0, 0, 0]","[1827.089666262181, -527.3285150836289, 3.279197125047637, 0.03983439881401107, -0.5893778998593705, -0.004305885998201015]",13,378.4146974946769
5,1,"[468.4206584664301, -43.43202982021182, 1.1035292157937793, 0.2557114707116738, -0.0025439180856341352, -0.046480291421633034]","[1827.089666262181, -527.3285150836289, 3.279197125047637, 0.03983439881401107, -0.5893778998593705, -0.004305885998201015]",28,378.4146974946769
5,2,"[619.3988254147554, -200.1138514384688, 5.274274031428205, 0.2038986996448949, -1.017563503404392, -0.08261307061293967]","[1827.089666262181, -527.3285150836289, 3.279197125047637, 0.03983439881401107, -0.5893778998593705, -0.004305885998201015]",1,378.4146974946769
5,3,"[1636.3157642899419, -448.2127582377733, 2.4528404630390668, 0.08712724968964027, -0.0703084872280327, 0.0001406486309357725]","[1827.089666262181, -527.3285150836289, 3.279197125047637, 0.03983439881401107, -0.5893778998593705, -0.004305885998201015]",0,378.4146974946769
6,0,"[0, 0, 1, 0, 0, 0]","[1762.737272169979, 39.24605184378407, 1.1046649098920795, 0.1296577894222616, 0.3719782039380504, -0.015583931446174834]",23,378.4146974946769
6,1,"[875.5712201496261, 52.15666468121016, 1.9206063573750132, 0.1951827509221929, 0.6554948851036803, -0.05562713203727342]","[1762.737272169979, 39.24605184378407, 1.1046649098920795, 0.1296577894222616, 0.3719782039380504, -0.015583931446174834]",4,378.4146974946769
6,2,"[1373.3180389323159, 11.566483856097824, 1.3837088489223117, 0.1615454201454793, 0.1072679235955196, 0.0022399962785135978]","[1762.737272169979, 39.24605184378407, 1.1046649098920795, 0.1296577894222616, 0.3719782039380504, -0.015583931446174834]",33,378.4146974946769
7,0,"[0, 0, 1, 0, 0, 0]","[2001.294922131045, -78.7835632659799, 1.30040642326507, 0.19700780383232253, 0.01011683350474047, -0.010649627181109074]",22,378.4146974946769
7,1,"[1178.9981768061791, -64.45916337677477, 3.5183552793434223, 0.20325004107190772, -0.04240254718698327, -0.0600398231852056]","[2001.294922131045, -78.7835632659799, 1.30040642326507, 0.19700780383232253, 0.01011683350474047, -0.010649627181109074]",4,378.4146974946769
7,2,"[1709.6468752768567, -79.80135971074525, 1.5459746803635366, 0.15901402720993033, 0.04966772197129215, 0.006309482414349447]","[2001.294922131045, -78.7835632659799, 1.30040642326507, 0.19700780383232253, 0.01011683350474047, -0.010649627181109074]",19,378.4146974946769
8,0,"[0, 0, 1, 0, 0, 0]","[1885.4423790815806, -107.48090683048036, 1.6309224926640709, 0.14051493654305622, 0.09997304018196651, 0.0029994613799556634]",2,378.4146974946769
8,1,"[669.1997063306001, -95.64383125719326, 1.6894554012413938, 0.12209118068908624, -0.024539620129299368, -0.001610730136986043]","[1885.4423790815806, -107.48090683048036, 1.6309224926640709, 0.14051493654305622, 0.09997304018196651, 0.0029994613799556634]",25,378.4146974946769
8,2,"[1288.837171684357, -48.25472000481786, 1.5230236161048516, 0.23510471359544213, 0.45617097291957737, -0.05328127880530718]","[1885.4423790815806, -107.48090683048036, 1.6309224926640709, 0.14051493654305622, 0.09997304018196651, 0.0029994613799556634]",6,378.4146974946769
8,3,"[1720.9643038709598, -80.15178493285556, 1.0655482456791052, 0.20243617185724486, 0.12311496859996932, -0.003580679120728913]","[1885.4423790815806, -107.48090683048036, 1.6309224926640709, 0.14051493654305622, 0.09997304018196651, 0.0029994613799556634]",3,378.4146974946769
