id_camino,id_in_seq,current_state,goal_state,out_action,timesteps
59,2,"[1137.5404178632325, -211.12798708400808, 2.3347286768296325, 0.08786195853725581, -0.18262910458071493, -0.0006866683185546422]","[2610.088415388559, -423.0970751625679, 1.5587467033184446, 0.1252091355640533, 0.10198747225542831, -0.0036241298907988204]",2,315.34558124556406
59,3,"[1709.5488528932779, -263.82572572469496, 1.6963468199389344, 0.12186340701321285, -0.05752098698787548, -0.0015005302571333323]","[2610.088415388559, -423.0970751625679, 1.5587467033184446, 0.1252091355640533, 0.10198747225542831, -0.0036241298907988204]",1,315.34558124556406
59,4,"[2443.3045540555236, -420.3551035996038, 2.363670848454724, 0.08760053890003333, -0.16922023821326265, -0.00047134545484832276]","[2610.088415388559, -423.0970751625679, 1.5587467033184446, 0.1252091355640533, 0.10198747225542831, -0.0036241298907988204]",2,315.34558124556406
60,0,"[0, 0, 1, 0, 0, 0]","[3504.3155404263734, -316.3688632684785, 1.1835676486752542, 0.18172302741518984, 0.06037518059733313, 5.89455209453443e-05]",3,315.34558124556406
60,1,"[467.51084210168455, -52.85735936140974, 1.3962657841042436, 0.1472180201690868, 0.014903835526010675, -0.0022125163850580344]","[3504.3155404263734, -316.3688632684785, 1.1835676486752542, 0.18172302741518984, 0.06037518059733313, 5.89455209453443e-05]",4,315.34558124556406
60,2,"[881.3909271559311, -87.82787195861813, 1.3092729144579214, 0.16430310671359402, 0.04637810442928506, 1.136390374434336e-05]","[3504.3155404263734, -316.3688632684785, 1.1835676486752542, 0.18172302741518984, 0.06037518059733313, 5.89455209453443e-05]",4,315.34558124556406
60,3,"[1293.8754807566058, -124.08675633965926, 1.3069582163742681, 0.16444804561024112, 0.03688121463306751, -7.376371902509374e-05]","[3504.3155404263734, -316.3688632684785, 1.1835676486752542, 0.18172302741518984, 0.06037518059733313, 5.89455209453443e-05]",4,315.34558124556406
60,4,"[1706.6741019079343, -160.4873748066237, 1.3096864972611537, 0.16435618547877662, 0.036761184634776595, 5.612993431135876e-06]","[3504.3155404263734, -316.3688632684785, 1.1835676486752542, 0.18172302741518984, 0.06037518059733313, 5.89455209453443e-05]",4,315.34558124556406
60,5,"[2119.488923975344, -196.83833101179795, 1.309536188687928, 0.16435935631473453, 0.03705511119468869, 1.7521869431976616e-06]","[3504.3155404263734, -316.3688632684785, 1.1835676486752542, 0.18172302741518984, 0.06037518059733313, 5.89455209453443e-05]",4,315.34558124556406
60,6,"[2532.2930410811136, -233.18899370280621, 1.3094668028937966, 0.16436183253017586, 0.03703521969481637, -3.049275622154076e-07]","[3504.3155404263734, -316.3688632684785, 1.1835676486752542, 0.18172302741518984, 0.06037518059733313, 5.89455209453443e-05]",4,315.34558124556406
60,7,"[2945.0975335202634, -269.54116215611543, 1.309476849106158, 0.16436153874868695, 0.03702815968605061, -2.465351219502048e-08]","[3504.3155404263734, -316.3688632684785, 1.1835676486752542, 0.18172302741518984, 0.06037518059733313, 5.89455209453443e-05]",5,315.34558124556406
60,8,"[3319.8590153612604, -299.9308371828901, 1.1630641636617312, 0.1824901409194042, 0.06508397672131946, -0.0006779055170586524]","[3504.3155404263734, -316.3688632684785, 1.1835676486752542, 0.18172302741518984, 0.06037518059733313, 5.89455209453443e-05]",5,315.34558124556406
61,0,"[0, 0, 1, 0, 0, 0]","[2081.5331634312965, -189.8422338168617, 1.1636112132052836, 0.18246532291420836, 0.06528474644744234, -0.0006571071163272514]",4,315.34558124556406
