id_camino,id_in_seq,current_state,goal_state,out_action,timesteps
612,1,"[449.3339568747035, -42.07691425450208, 1.1584265979464572, 0.18275276880263788, 0.05364134111997044, -0.0009107324235008902]","[1850.024739464832, -152.11451014729985, 1.694875102877063, 0.1573220603706399, 0.001204517749299545, 0.0005475546507521592]",4,378.4146974946769
612,2,"[944.973041645448, -88.47943368675247, 1.309474979097838, 0.16429629268601517, 0.05138692675555942, 4.512541405982145e-05]","[1850.024739464832, -152.11451014729985, 1.694875102877063, 0.1573220603706399, 0.001204517749299545, 0.0005475546507521592]",3,378.4146974946769
612,3,"[1505.3138942475257, -145.27128639625022, 1.5100219401433852, 0.14370217883408049, -0.01316207269058417, 0.00034122235917951325]","[1850.024739464832, -152.11451014729985, 1.694875102877063, 0.1573220603706399, 0.001204517749299545, 0.0005475546507521592]",10,378.4146974946769
613,0,"[0, 0, 1, 0, 0, 0]","[1980.107501591289, 63.57098688800662, 1.294282623915847, 0.058143195825064733, 0.14843902469844036, -0.0017308942167065982]",11,378.4146974946769
613,1,"[583.5206628010139, -39.835453272202415, 1.9448547861504741, 0.2518164673418514, 0.13714594843017514, -0.03187867743171505]","[1980.107501591289, 63.57098688800662, 1.294282623915847, 0.058143195825064733, 0.14843902469844036, -0.0017308942167065982]",22,378.4146974946769
613,2,"[1788.327296997297, 4.976679200914231, 3.40101715768738, 0.22962938270405275, 0.05596896319138433, -0.04544999558557924]","[1980.107501591289, 63.57098688800662, 1.294282623915847, 0.058143195825064733, 0.14843902469844036, -0.0017308942167065982]",9,378.4146974946769
614,0,"[0, 0, 1, 0, 0, 0]","[2141.883798251588, -451.6368072409228, 2.42978727156439, 0.0869491869612247, -0.1479634899110376, 2.7431641811566667e-05]",1,378.4146974946769
614,1,"[871.1345403425793, -219.58366265305932, 2.5429472973131975, 0.08537532603783342, -0.18486158111077802, 0.0009449914261199253]","[2141.883798251588, -451.6368072409228, 2.42978727156439, 0.0869491869612247, -0.1479634899110376, 2.7431641811566667e-05]",1,378.4146974946769
614,2,"[1777.303395238776, -384.5379853276468, 2.4234693437154182, 0.08707772822524307, -0.14162385792318183, -2.9093242088604494e-05]","[2141.883798251588, -451.6368072409228, 2.42978727156439, 0.0869491869612247, -0.1479634899110376, 2.7431641811566667e-05]",1,378.4146974946769
615,0,"[0, 0, 1, 0, 0, 0]","[1795.2918833259384, -186.8410810920157, 1.2132433581318935, 0.18067708257425555, 0.056909972920146164, 0.0011102695657931652]",3,378.4146974946769
615,1,"[559.5548653512201, -64.43389144133145, 1.5469528870308702, 0.14278518106604685, -0.026724926328013165, 0.0011418132414958686]","[1795.2918833259384, -186.8410810920157, 1.2132433581318935, 0.18067708257425555, 0.056909972920146164, 0.0011102695657931652]",2,378.4146974946769
615,2,"[1231.7643273755248, -146.53702344771975, 1.762262422161831, 0.12032242136301244, -0.040624351635795, -0.0004770326751461017]","[1795.2918833259384, -186.8410810920157, 1.2132433581318935, 0.18067708257425555, 0.056909972920146164, 0.0011102695657931652]",5,378.4146974946769
615,3,"[1694.1626643750349, -177.47117756370778, 1.1773558903456254, 0.1814223653171731, 0.10363347636741585, -2.999074609257477e-05]","[1795.2918833259384, -186.8410810920157, 1.2132433581318935, 0.18067708257425555, 0.056909972920146164, 0.0011102695657931652]",5,378.4146974946769
616,0,"[0, 0, 1, 0, 0, 0]","[1886.0834134514266, -354.27593970658916, 2.4269336046421977, 0.08691233130897946, -0.15611103274539703, 1.3850304614405658e-05]",5,378.4146974946769
616,1,"[449.3339568747035, -42.07691425450208, 1.1584265979464572, 0.18275276880263788, 0.05364134111997044, -0.0009107324235008902]","[1886.0834134514266, -354.27593970658916, 2.4269336046421977, 0.08691233130897946, -0.15611103274539703, 1.3850304614405658e-05]",1,378.4146974946769
616,2,"[1321.213102864138, -252.25336114862, 2.5243593628521506, 0.08559385215702657, -0.18157075542151374, 0.0008000797730134398]","[1886.0834134514266, -354.27593970658916, 2.4269336046421977, 0.08691233130897946, -0.15611103274539703, 1.3850304614405658e-05]",1,378.4146974946769
617,0,"[0, 0, 1, 0, 0, 0]","[1632.1917096574432, -190.08595705743917, 1.1861666780030276, 0.169588035900317, -0.004641265258319108, -0.0039970382983585545]",2,378.4146974946769
617,1,"[669.2287603240479, -95.75193694986872, 1.6797456046651493, 0.12236049247733556, -0.021983999122508584, -0.0017606134186559596]","[1632.1917096574432, -190.08595705743917, 1.1861666780030276, 0.169588035900317, -0.004641265258319108, -0.0039970382983585545]",2,378.4146974946769
617,2,"[1341.1819870116638, -174.7395289260939, 1.7792229686063885, 0.11995453200902928, -0.0416263821905009, -0.00021851824618996014]","[1632.1917096574432, -190.08595705743917, 1.1861666780030276, 0.169588035900317, -0.004641265258319108, -0.0039970382983585545]",4,378.4146974946769
