id_camino,id_in_seq,current_state,goal_state,out_action,timesteps
4,4,"[36.20678576262511, -18.262881140713937, 13.836659346613116, 0.34627485883809783, -0.23296957107535798, 0.0057458034559548]","[48.214939490988144, -19.801490657199167, 0, 0, 0, 0]","[-0.01745, 0.0]",31.53455812455641
4,5,"[48.20537840459333, -20.49478334559315, 12.815898705463212, 0.35345026341544994, -0.08872678402329982, 0.004098911182056445]","[48.214939490988144, -19.801490657199167, 0, 0, 0, 0]",[],31.53455812455641
5,0,"[0.0, 0.0, 4.257165346815115, 0.0, 0, 0]","[50.755477685109106, -7.997603559062214, 0, 0, 0, 0]","[-0.05236, 0.0]",31.53455812455641
5,1,"[4.745068697222255, -1.2437566999243914, 5.915146749566081, 0.6180499312841097, -0.22818002319939584, -0.00242293497127862]","[50.755477685109106, -7.997603559062214, 0, 0, 0, 0]","[-0.06981, 0.0]",31.53455812455641
5,2,"[11.317408056427961, -2.7794741286446674, 7.126935815010951, 0.6726456842759618, -0.002996435098317557, 0.009326467714881869]","[50.755477685109106, -7.997603559062214, 0, 0, 0, 0]","[-0.01745, 0.0]",31.53455812455641
5,3,"[18.53954231249028, -4.082139423439968, 7.857608909811721, 0.41487680159961265, -0.21793825143180423, -0.005298206161011203]","[50.755477685109106, -7.997603559062214, 0, 0, 0, 0]","[-0.06981, 0.0]",31.53455812455641
5,4,"[26.392402217911954, -4.74325349962704, 7.323702389985224, 0.6670453631106469, 0.2085836615349113, 0.010835284641944363]","[50.755477685109106, -7.997603559062214, 0, 0, 0, 0]","[-0.0, 0.0]",31.53455812455641
5,5,"[33.166716729018056, -5.141650387709082, 7.050864388388421, 0.36798102183331793, -0.22020573052346448, -0.013167822258949413]","[50.755477685109106, -7.997603559062214, 0, 0, 0, 0]","[-0.01745, 0.0]",31.53455812455641
5,6,"[40.77256540895023, -7.998854415122464, 9.30141061149675, 0.3709591635120588, -0.3612582739296658, -0.001551638751553823]","[50.755477685109106, -7.997603559062214, 0, 0, 0, 0]","[-0.06981, 0.0]",31.53455812455641
5,7,"[49.977203076535815, -8.954639929433922, 8.505604368770063, 0.668903822218834, 0.2874095445655819, 0.01686850251401488]","[50.755477685109106, -7.997603559062214, 0, 0, 0, 0]",[],31.53455812455641
