id_camino,id_in_seq,initial state,current_state,goal_state,out_action,timesteps
2,6,"[0, 0, 1.8441880650342495, 0.6364324100930964, 0.3323044178561275, 0]","[1.1475176983037432, -0.886982925947818, 0.0036697802557074683, 1.3438577336038442, 0.5233558140017052]","[15.093025331736655, -6.811531154046016, 0, 0, 0, 0]","[-0.0, 0.03171124187154174]",6.306911624911282
2,7,"[0, 0, 1.8441880650342495, 0.6364324100930964, 0.3323044178561275, 0]","[1.1620250283393347, -0.9110425691369278, 0.0005559161694614625, 1.2304429697616928, 0.5559726187896166]","[15.093025331736655, -6.811531154046016, 0, 0, 0, 0]","[-0.0, 0.0]",6.306911624911282
2,8,"[0, 0, 1.8441880650342495, 0.6364324100930964, 0.3323044178561275, 0]","[1.3283770841824452, -1.28907533933824, -1.0918211997441722, 2.711711688555026, 0.7904894093667745]","[15.093025331736655, -6.811531154046016, 0, 0, 0, 0]","[-0.0, 0.0]",6.306911624911282
2,9,"[0, 0, 1.8441880650342495, 0.6364324100930964, 0.3323044178561275, 0]","[1.685748319840418, -1.9268674895835676, -1.1487300758650028, 4.225320494626912, 0.8956510329707841]","[15.093025331736655, -6.811531154046016, 0, 0, 0, 0]","[-0.0, 0.0]",6.306911624911282
2,10,"[0, 0, 1.8441880650342495, 0.6364324100930964, 0.3323044178561275, 0]","[2.383040214044347, -2.5980779429432284, 4.403566661311418, 2.9460890505404915, -0.0008793709930799837]","[15.093025331736655, -6.811531154046016, 0, 0, 0, 0]","[-0.06981, 0.03171124187154174]",6.306911624911282
2,11,"[0, 0, 1.8441880650342495, 0.6364324100930964, 0.3323044178561275, 0]","[3.25711281325687, -3.2065214787460765, 5.796258448805089, 0.37770918924621094, -0.5723331327376058]","[15.093025331736655, -6.811531154046016, 0, 0, 0, 0]","[-0.05236, 0.0]",6.306911624911282
2,12,"[0, 0, 1.8441880650342495, 0.6364324100930964, 0.3323044178561275, 0]","[4.266301284439442, -3.9526416817813876, 6.779407592899472, 0.5492367762251551, -0.5420587711886226]","[15.093025331736655, -6.811531154046016, 0, 0, 0, 0]","[-0.08727, 0.06342248374308349]",6.306911624911282
2,13,"[0, 0, 1.8441880650342495, 0.6364324100930964, 0.3323044178561275, 0]","[5.4858657732973555, -4.6783837949346605, 7.465462761151073, 0.40636046913074786, -0.3767736295744775]","[15.093025331736655, -6.811531154046016, 0, 0, 0, 0]","[-0.06981, 0.0]",6.306911624911282
2,14,"[0, 0, 1.8441880650342495, 0.6364324100930964, 0.3323044178561275, 0]","[6.90609682646815, -5.273720503443205, 7.958181933363692, 0.6584351695359184, -0.2709910066554761]","[15.093025331736655, -6.811531154046016, 0, 0, 0, 0]","[-0.08727, 0.0]",6.306911624911282
2,15,"[0, 0, 1.8441880650342495, 0.6364324100930964, 0.3323044178561275, 0]","[8.454929160308096, -5.746196457178685, 8.23446935060035, 0.7565625273351226, -0.13943939183011403]","[15.093025331736655, -6.811531154046016, 0, 0, 0, 0]","[-0.0, 0.0]",6.306911624911282
2,16,"[0, 0, 1.8441880650342495, 0.6364324100930964, 0.3323044178561275, 0]","[10.074616074870077, -6.106652505115928, 8.436477305964516, 0.30995611995673256, -0.20692742785109255]","[15.093025331736655, -6.811531154046016, 0, 0, 0, 0]","[-0.06981, 0.0]",6.306911624911282
2,17,"[0, 0, 1.8441880650342495, 0.6364324100930964, 0.3323044178561275, 0]","[11.727877883189333, -6.4908966813067135, 8.575815733130362, 0.6753369690987724, -0.10398734454505248]","[15.093025331736655, -6.811531154046016, 0, 0, 0, 0]","[-0.0, 0.0]",6.306911624911282
2,18,"[0, 0, 1.8441880650342495, 0.6364324100930964, 0.3323044178561275, 0]","[13.417482543865551, -6.795080776618506, 8.681682915808361, 0.3035345170880164, -0.16890612237184385]","[15.093025331736655, -6.811531154046016, 0, 0, 0, 0]","[-0.10472, 0.03171124187154174]",6.306911624911282
2,19,"[15.091762142144495, -7.054328151731812, 8.420864714425468, 0.6273081175618528, 0.02594061360643985]","[15.093025331736655, -6.811531154046016, 0, 0, 0, 0]",[],6.306911624911282
3,0,"[0, 0, 3.4442075549485662, 0.5813271655953376, 0.16720808613926452, 0]","[0.0, 0.0, 3.4442075549485662, 0.5813271655953376, 0.16720808613926452]","[8.850663551861407, -3.028060183580572, 0, 0, 0, 0]","[-0.10472, 0.06342248374308349]",6.306911624911282
3,1,"[0, 0, 3.4442075549485662, 0.5813271655953376, 0.16720808613926452, 0]","[0.6523956908074934, -0.01993175281781342, 3.0137938633544574, 0.729304585967915, 0.17715449479732373]","[8.850663551861407, -3.028060183580572, 0, 0, 0, 0]","[-0.10472, 0.06342248374308349]",6.306911624911282
3,2,"[0, 0, 3.4442075549485662, 0.5813271655953376, 0.16720808613926452, 0]","[1.2230215292743154, -0.074819779334401, 2.5956074741572253, 0.8121772594928515, 0.15628743829422914]","[8.850663551861407, -3.028060183580572, 0, 0, 0, 0]","[-0.0, 0.06342248374308349]",6.306911624911282
3,3,"[0, 0, 3.4442075549485662, 0.5813271655953376, 0.16720808613926452, 0]","[1.7207205660047185, -0.17663465254441924, 2.372148611456443, 0.7821790165596438, 0.030755922119006227]","[8.850663551861407, -3.028060183580572, 0, 0, 0, 0]","[-0.06981, 0.06342248374308349]",6.306911624911282
3,4,"[0, 0, 3.4442075549485662, 0.5813271655953376, 0.16720808613926452, 0]","[2.1829816263811606, -0.3476923969214497, 2.403650240798477, 0.8347241319603147, -0.08715385480137024]","[8.850663551861407, -3.028060183580572, 0, 0, 0, 0]","[-0.0, 0.06342248374308349]",6.306911624911282
3,5,"[0, 0, 3.4442075549485662, 0.5813271655953376, 0.16720808613926452, 0]","[2.6511702291097032, -0.5746702952088958, 2.695721558095452, 0.7141769318922908, -0.2351699633439767]","[8.850663551861407, -3.028060183580572, 0, 0, 0, 0]","[-0.08727, 0.06342248374308349]",6.306911624911282
3,6,"[0, 0, 3.4442075549485662, 0.5813271655953376, 0.16720808613926452, 0]","[3.1705435678644203, -0.8674151827743819, 3.1894357780691176, 0.6780703635763222, -0.3110233286416622]","[8.850663551861407, -3.028060183580572, 0, 0, 0, 0]","[-0.0, 0.06342248374308349]",6.306911624911282
3,7,"[0, 0, 3.4442075549485662, 0.5813271655953376, 0.16720808613926452, 0]","[3.7812851469009274, -1.212589692388087, 3.8476545218016156, 0.42600688459429137, -0.4090119470365166]","[8.850663551861407, -3.028060183580572, 0, 0, 0, 0]","[-0.08727, 0.09513372561462523]",6.306911624911282
3,8,"[0, 0, 3.4442075549485662, 0.5813271655953376, 0.16720808613926452, 0]","[4.518217606369691, -1.6137378872777748, 4.553078119216756, 0.7790382636913312, -0.3672890628283445]","[8.850663551861407, -3.028060183580572, 0, 0, 0, 0]","[-0.06981, 0.06342248374308349]",6.306911624911282
3,9,"[0, 0, 3.4442075549485662, 0.5813271655953376, 0.16720808613926452, 0]","[5.37929186809239, -2.0598889687185724, 5.169493741384699, 0.41441857272210353, -0.34871268015322815]","[8.850663551861407, -3.028060183580572, 0, 0, 0, 0]","[-0.08727, 0.06342248374308349]",6.306911624911282
3,10,"[0, 0, 3.4442075549485662, 0.5813271655953376, 0.16720808613926452, 0]","[6.375588415607482, -2.4666925511276467, 5.615208941204664, 0.4552584607413888, -0.242957105514306]","[8.850663551861407, -3.028060183580572, 0, 0, 0, 0]","[-0.05236, 0.09513372561462523]",6.306911624911282
3,11,"[0, 0, 3.4442075549485662, 0.5813271655953376, 0.16720808613926452, 0]","[7.486419371758764, -2.7627961349601873, 5.926628041979723, 0.6498951377970237, -0.15906214178713904]","[8.850663551861407, -3.028060183580572, 0, 0, 0, 0]","[-0.10472, 0.06342248374308349]",6.306911624911282
