id_camino,id_in_seq,current_state,goal_state,out_action,timesteps
361,2,"[1419.7918228701215, -34.59378089592914, 1.99159159395674, 0.206291256239526, 0.23895111661736063, -0.05536037610450928]","[1762.5297507825574, -54.44047427752622, 1.386912702767445, 0.1475982341314392, -0.07547492444080373, -0.0024846566850754573]",3,378.4146974946769
362,0,"[0, 0, 1, 0, 0, 0]","[1955.1297949532277, -171.6372063848915, 1.2720818894488248, 0.0813614327549126, -0.04287433917899689, 0.02877208308828]",5,378.4146974946769
362,1,"[449.21176849063545, -42.10344607264775, 1.163934494883552, 0.18253539385567596, 0.05752902384461152, -0.0006674080431381201]","[1955.1297949532277, -171.6372063848915, 1.2720818894488248, 0.0813614327549126, -0.04287433917899689, 0.02877208308828]",6,378.4146974946769
362,2,"[870.7936463300326, -78.67687030062365, 1.1034009355938723, 0.19722375641519943, 0.09139638106378581, 0.0002533061433595869]","[1955.1297949532277, -171.6372063848915, 1.2720818894488248, 0.0813614327549126, -0.04287433917899689, 0.02877208308828]",6,378.4146974946769
362,3,"[1291.05840333117, -115.97802981465783, 1.101591940186146, 0.19767335535580555, 0.08873926617756447, -7.351102875771271e-06]","[1955.1297949532277, -171.6372063848915, 1.2720818894488248, 0.0813614327549126, -0.04287433917899689, 0.02877208308828]",5,378.4146974946769
362,4,"[1739.5008306147606, -156.2750362870681, 1.1737676673956845, 0.1820570893691361, 0.06503889052104121, -0.00028471784091199475]","[1955.1297949532277, -171.6372063848915, 1.2720818894488248, 0.0813614327549126, -0.04287433917899689, 0.02877208308828]",12,378.4146974946769
363,0,"[0, 0, 1, 0, 0, 0]","[1682.1031934884247, -376.0812563806961, 3.442731060298341, 0.18972234024755297, -0.14615172326165188, -0.04775686850115618]",13,378.4146974946769
363,1,"[468.4206584664301, -43.43202982021182, 1.1035292157937793, 0.2557114707116738, -0.0025439180856341352, -0.046480291421633034]","[1682.1031934884247, -376.0812563806961, 3.442731060298341, 0.18972234024755297, -0.14615172326165188, -0.04775686850115618]",21,378.4146974946769
363,2,"[620.8241758814947, -199.48269512982785, 5.017121080304076, 0.19279155265565023, -0.9977599990930632, -0.07843308899434911]","[1682.1031934884247, -376.0812563806961, 3.442731060298341, 0.18972234024755297, -0.14615172326165188, -0.04775686850115618]",8,378.4146974946769
364,0,"[0, 0, 1, 0, 0, 0]","[1633.0418080574013, -484.4868698755565, 2.514865702669667, 0.08641936349486569, -0.07610749895065252, 0.0006210721833721516]",5,378.4146974946769
364,1,"[449.21176849063545, -42.10344607264775, 1.163934494883552, 0.18253539385567596, 0.05752902384461152, -0.0006674080431381201]","[1633.0418080574013, -484.4868698755565, 2.514865702669667, 0.08641936349486569, -0.07610749895065252, 0.0006210721833721516]",14,378.4146974946769
364,2,"[640.4740323737753, -236.4013033590349, 5.144901105557466, 0.15123860446070464, -1.0249160995717823, -0.055769520608239594]","[1633.0418080574013, -484.4868698755565, 2.514865702669667, 0.08641936349486569, -0.07610749895065252, 0.0006210721833721516]",1,378.4146974946769
365,0,"[0, 0, 1, 0, 0, 0]","[1754.885383685176, -191.18248893171753, 1.5126104658763893, 0.14358362268462171, 0.02097774842126399, 0.00043376673068541634]",3,378.4146974946769
365,1,"[559.5548653512201, -64.43389144133145, 1.5469528870308702, 0.14278518106604685, -0.026724926328013165, 0.0011418132414958686]","[1754.885383685176, -191.18248893171753, 1.5126104658763893, 0.14358362268462171, 0.02097774842126399, 0.00043376673068541634]",2,378.4146974946769
365,2,"[1231.7643273755248, -146.53702344771975, 1.762262422161831, 0.12032242136301244, -0.040624351635795, -0.0004770326751461017]","[1754.885383685176, -191.18248893171753, 1.5126104658763893, 0.14358362268462171, 0.02097774842126399, 0.00043376673068541634]",3,378.4146974946769
366,0,"[0, 0, 1, 0, 0, 0]","[1746.2043273479785, -409.48570883945615, 1.248131275359083, 0.1520402637102348, -0.24745672216558343, -0.00584945964652121]",20,378.4146974946769
366,1,"[475.7263505971204, -23.4968915086083, 0.8835992900346865, 0.28584561686152615, 0.011800634369868227, -0.06944515422534021]","[1746.2043273479785, -409.48570883945615, 1.248131275359083, 0.1520402637102348, -0.24745672216558343, -0.00584945964652121]",7,378.4146974946769
366,2,"[597.6863090247822, -164.89824203610226, 4.3620811974882985, 0.14488255136019598, -1.0082380987414572, -0.057335392828997155]","[1746.2043273479785, -409.48570883945615, 1.248131275359083, 0.1520402637102348, -0.24745672216558343, -0.00584945964652121]",1,378.4146974946769
366,3,"[1598.689041513774, -422.5234688966301, 2.5023370389875788, 0.08651247758054471, -0.08574287571401379, 0.0005314239675281558]","[1746.2043273479785, -409.48570883945615, 1.248131275359083, 0.1520402637102348, -0.24745672216558343, -0.00584945964652121]",3,378.4146974946769
