actions,cost,distance,p_id,states,target,time,xz_distance,mean_error
"[[-0.0, 0.0, 31.53455812455641], [-0.0, 0.0, 31.53455812455641], [-0.03491, 0.0, 31.53455812455641], [-0.0, 0.0, 31.53455812455641], [-0.01745, 0.0, 31.53455812455641], [-0.06981, 0.0, 31.53455812455641]]",25.49952426,14.41933635,10,"[(0.0, 0.0, 4.257165346815115, 0.0, 0, 0), (4.83359374299332, -1.956144729726941, 7.023492212473483, 0.332506851115255, -0.5321053656341397, -0.01198471940855843), (11.979867312536655, -8.052150652242604, 11.837087637947024, 0.17058715791724038, -0.7729230202912865, -0.004711596121477775), (23.23865560849328, -14.919228101140556, 13.975820497456986, 0.4957630173973148, -0.25219182012403, 0.01712983669920827), (36.36327197963175, -19.665958630664747, 14.213479525399434, 0.18227434271405815, -0.41126348818203723, -0.004748752701015569), (49.86199276117289, -24.298984237470275, 14.096380199292357, 0.34716749148287684, -0.20520984998792055, 0.006072615060381006), (51.22329064988547, -24.568490329935766, 13.920417760927956, 0.8010928379492133, -0.08281786964489486, 0.03911078583410893)]","[51.225133232414144, -20.8957408925407, 0, 0, 0, 0]",0.02888542,3.6727499,1.30192163
"[[-0.0, 0.0, 31.53455812455641], [-0.03491, 0.0, 31.53455812455641], [-0.03491, 0.0, 31.53455812455641], [-0.0, 0.0, 31.53455812455641], [-0.06981, 0.0, 31.53455812455641]]",24.93339676,9.537109382,11,"[(0.0, 0.0, 4.257165346815115, 0.0, 0, 0), (4.83359374299332, -1.956144729726941, 7.023492212473483, 0.332506851115255, -0.5321053656341397, -0.01198471940855843), (12.612464945325426, -6.414631886558389, 10.502988644505468, 0.4663283665694957, -0.3669098198309792, 0.009154565078148227), (23.183398797032908, -9.14932832256828, 10.903668624973797, 0.4839325287391979, -0.05192524212322113, 0.009643175188915448), (33.68508058675299, -11.263814367995979, 10.971277623772288, 0.2382693178464188, -0.29617262765303415, -0.007358126927888671), (43.60162484605159, -10.983530058395143, 8.543561575721025, 0.6524810098491663, 0.4665239925668816, 0.01785449683072994)]","[43.60367026027089, -6.821762176246617, 0, 0, 0, 0]",0.022788764,4.161768385,2.911358723
"[[-0.05236, 0.0, 31.53455812455641], [-0.08727, 0.0, 31.53455812455641], [-0.05236, 0.0, 31.53455812455641], [-0.08727, 0.0, 31.53455812455641], [-0.05236, 0.0, 31.53455812455641], [-0.05236, 0.0, 31.53455812455641], [-0.05236, 0.0, 31.53455812455641], [-0.03491, 0.0, 31.53455812455641], [-0.03491, 0.0, 31.53455812455641], [-0.03491, 0.0, 31.53455812455641], [-0.0, 0.0, 31.53455812455641], [-0.08727, 0.0, 31.53455812455641]]",57.3358706,9.930470559,12,"[(0.0, 0.0, 4.257165346815115, 0.0, 0, 0), (4.745068697222255, -1.2437566999243914, 5.915146749566081, 0.6180499312841097, -0.22818002319939584, -0.0024229349712786208), (11.1811862486643, -2.376343797293254, 6.547207513085072, 0.7455292839889492, 0.12245759651839695, 0.011429434240834094), (17.219450056664538, -2.3279013525305268, 5.61147736507968, 0.6384856672030733, 0.07204747506147337, -0.003967205008279254), (22.551067453196577, -2.42955591501415, 4.897645412136922, 0.7748530036700247, 0.14709865873534222, -0.0006919514208958791), (27.499880359873686, -3.0858520189585037, 5.428040178372471, 0.6469553324079335, -0.11840185275761321, -0.005536073556536863), (33.56474038102335, -4.653123673024522, 6.990975695760513, 0.5953716547970415, -0.14368275795040425, 0.0031151102941514926), (40.817417985054774, -5.7875460869995905, 7.406676477299095, 0.5934523794575696, 0.003200911511420111, 0.005019668230110012), (48.07743163345586, -6.416386363274733, 7.2200973473026, 0.5189988340910239, -0.03728273182912543, -0.0015105212266030565), (55.33189392333663, -7.357884582592051, 7.440651992196244, 0.5130124952850491, -0.07510252471384922, -0.0007053293413833068), (62.869835432529136, -8.470330101264254, 7.767427908427399, 0.5060744785720837, -0.07811013454101157, 0.00045546169390035953), (70.83469982245188, -10.90418146334479, 9.38920939761122, 0.2650647709397355, -0.4115934752609049, -0.008691208728276422), (75.16874088503133, -12.114191041551152, 9.69246272565338, 0.7973479504588268, 0.02329226352264334, 0.029330212616439616)]","[75.17393365140086, -10.105903630243592, 0, 0, 0, 0]",0.044957215,2.008294125,1.149413955
"[[-0.0, 0.0, 31.53455812455641], [-0.01745, 0.0, 31.53455812455641], [-0.01745, 0.0, 31.53455812455641], [-0.01745, 0.0, 31.53455812455641], [-0.0, 0.0, 31.53455812455641], [-0.01745, 0.0, 31.53455812455641], [-0.03491, 0.0, 31.53455812455641], [-0.03491, 0.0, 31.53455812455641]]",36.32730733,10.54471124,13,"[(0.0, 0.0, 4.257165346815115, 0.0, 0, 0), (4.83359374299332, -1.956144729726941, 7.023492212473483, 0.332506851115255, -0.5321053656341397, -0.01198471940855843), (12.372279371580733, -7.233444356472296, 11.197549274327296, 0.3278740088241256, -0.5645339019823639, 0.0027356080372407726), (23.228226190020074, -13.51172436146843, 13.55937094427288, 0.33491770532918774, -0.4204654156306135, 0.005765728648802105), (36.206785763486664, -18.262881140960445, 13.836659346318942, 0.3462748588709712, -0.23296957104745603, 0.005745803453231291), (49.23210001983365, -22.72847485872635, 13.997835836899903, 0.18570671134294778, -0.3967646878350186, -0.004909024526025839), (62.56999241836244, -27.17277122228098, 13.893728519579312, 0.3475497607308088, -0.2007368015530306, 0.005781077124687615), (75.23749531545157, -27.251177214746825, 11.129337547544461, 0.4790580575427472, 0.2478643533087716, 0.010529986991881063), (77.95336025517709, -26.57927827212038, 9.997259247631884, 0.47304742059981214, 0.32480278966016757, 0.007859038940856149)]","[77.96030810811305, -23.275286441596787, 0, 0, 0, 0]",0.033634082,3.303999136,1.226459927
"[[-0.0, 0.0, 31.53455812455641], [-0.01745, 0.0, 31.53455812455641], [-0.01745, 0.0, 31.53455812455641], [-0.01745, 0.0, 31.53455812455641], [-0.01745, 0.0, 31.53455812455641], [-0.01745, 0.0, 31.53455812455641], [-0.06981, 0.0, 31.53455812455641]]",32.15509039,10.72533291,14,"[(0.0, 0.0, 4.257165346815115, 0.0, 0, 0), (4.83359374299332, -1.956144729726941, 7.023492212473483, 0.332506851115255, -0.5321053656341397, -0.01198471940855843), (12.372279371580733, -7.233444356472296, 11.197549274327296, 0.3278740088241256, -0.5645339019823639, 0.0027356080372407726), (23.228226190020074, -13.51172436146843, 13.55937094427288, 0.33491770532918774, -0.4204654156306135, 0.005765728648802105), (36.206785763486664, -18.262881140960445, 13.836659346318942, 0.3462748588709712, -0.23296957104745603, 0.005745803453231291), (49.314713750203246, -20.61834151298193, 12.679990996410973, 0.35417909444152595, -0.07770473942724228, 0.0038868607677802346), (61.12132448879956, -21.347657141446224, 10.981217342538615, 0.3659853262228342, 0.0023300476518081257, 0.0011177694987612537), (65.55411397822131, -20.869314791360168, 9.617629833393892, 0.6821006363530242, 0.34032767956820587, 0.02201359368708335)]","[65.56259184933506, -16.18398431245977, 0, 0, 0, 0]",0.026836241,4.685338149,2.239432734
"[[-0.0, 0.0, 31.53455812455641], [-0.0, 0.0, 31.53455812455641], [-0.03491, 0.0, 31.53455812455641], [-0.0, 0.0, 31.53455812455641], [-0.01745, 0.0, 31.53455812455641], [-0.01745, 0.0, 31.53455812455641], [-0.03491, 0.0, 31.53455812455641]]",33.5775452,11.73293048,15,"[(0.0, 0.0, 4.257165346815115, 0.0, 0, 0), (4.83359374299332, -1.956144729726941, 7.023492212473483, 0.332506851115255, -0.5321053656341397, -0.01198471940855843), (11.979867312536655, -8.052150652242604, 11.837087637947024, 0.17058715791724038, -0.7729230202912865, -0.004711596121477775), (23.23865560849328, -14.919228101140556, 13.975820497456986, 0.4957630173973148, -0.25219182012403, 0.01712983669920827), (36.36327197963175, -19.665958630664747, 14.213479525399434, 0.18227434271405815, -0.41126348818203723, -0.004748752701015569), (49.86199276117289, -24.298984237470275, 14.096380199292357, 0.34716749148287684, -0.20520984998792055, 0.006072615060381006), (63.1180315185185, -26.26996188825943, 12.608064317268934, 0.3549044261882517, -0.0469604161220298, 0.0037669670598250425), (71.45016628477714, -25.865654164556563, 10.581224789846836, 0.4796264603760644, 0.2162478633453998, 0.009075074559817226)]","[71.45203776514491, -20.823586238434334, 0, 0, 0, 0]",0.031071147,5.042068273,2.166401592
"[[-0.0, 0.0, 31.53455812455641], [-0.01745, 0.0, 31.53455812455641], [-0.01745, 0.0, 31.53455812455641], [-0.01745, 0.0, 31.53455812455641], [-0.01745, 0.0, 31.53455812455641]]",24.08658421,13.18210136,16,"[(0.0, 0.0, 4.257165346815115, 0.0, 0, 0), (4.83359374299332, -1.956144729726941, 7.023492212473483, 0.332506851115255, -0.5321053656341397, -0.01198471940855843), (12.372279371580733, -7.233444356472296, 11.197549274327296, 0.3278740088241256, -0.5645339019823639, 0.0027356080372407726), (23.228226190020074, -13.51172436146843, 13.55937094427288, 0.33491770532918774, -0.4204654156306135, 0.005765728648802105), (36.206785763486664, -18.262881140960445, 13.836659346318942, 0.3462748588709712, -0.23296957104745603, 0.005745803453231291), (46.98805667829204, -20.34504962055287, 12.958273449385755, 0.3526886060474659, -0.10135864231753179, 0.004320770466407096)]","[46.98926998262945, -17.954178940620178, 0, 0, 0, 0]",0.018360801,2.390870988,1.18245303
"[[-0.0, 0.0, 31.53455812455641], [-0.0, 0.0, 31.53455812455641], [-0.03491, 0.0, 31.53455812455641], [-0.0, 0.0, 31.53455812455641], [-0.01745, 0.0, 31.53455812455641], [-0.01745, 0.0, 31.53455812455641], [-0.03491, 0.0, 31.53455812455641]]",33.22549952,11.71371198,17,"[(0.0, 0.0, 4.257165346815115, 0.0, 0, 0), (4.83359374299332, -1.956144729726941, 7.023492212473483, 0.332506851115255, -0.5321053656341397, -0.01198471940855843), (11.979867312536655, -8.052150652242604, 11.837087637947024, 0.17058715791724038, -0.7729230202912865, -0.004711596121477775), (23.23865560849328, -14.919228101140556, 13.975820497456986, 0.4957630173973148, -0.25219182012403, 0.01712983669920827), (36.36327197963175, -19.665958630664747, 14.213479525399434, 0.18227434271405815, -0.41126348818203723, -0.004748752701015569), (49.86199276117289, -24.298984237470275, 14.096380199292357, 0.34716749148287684, -0.20520984998792055, 0.006072615060381006), (63.1180315185185, -26.26996188825943, 12.608064317268934, 0.3549044261882517, -0.0469604161220298, 0.0037669670598250425), (70.70546523774695, -25.986666761221205, 10.830431548086722, 0.4808208999133581, 0.1954385016181143, 0.009667846717220903)]","[70.70856078621186, -21.554589048415316, 0, 0, 0, 0]",0.031621265,4.432078794,2.240234138
"[[-0.0, 0.0, 31.53455812455641], [-0.01745, 0.0, 31.53455812455641], [-0.01745, 0.0, 31.53455812455641], [-0.01745, 0.0, 31.53455812455641], [-0.0, 0.0, 31.53455812455641], [-0.06981, 0.0, 31.53455812455641]]",27.5356803,13.67103486,18,"[(0.0, 0.0, 4.257165346815115, 0.0, 0, 0), (4.83359374299332, -1.956144729726941, 7.023492212473483, 0.332506851115255, -0.5321053656341397, -0.01198471940855843), (12.372279371580733, -7.233444356472296, 11.197549274327296, 0.3278740088241256, -0.5645339019823639, 0.0027356080372407726), (23.228226190020074, -13.51172436146843, 13.55937094427288, 0.33491770532918774, -0.4204654156306135, 0.005765728648802105), (36.206785763486664, -18.262881140960445, 13.836659346318942, 0.3462748588709712, -0.23296957104745603, 0.005745803453231291), (49.23210001983365, -22.72847485872635, 13.997835836899903, 0.18570671134294778, -0.3967646878350186, -0.004909024526025839), (55.995971342434075, -23.730377923164582, 12.94875814062835, 0.7712234309098394, 0.2112244741724034, 0.03525446277146906)]","[56.00783058733658, -19.419221248254242, 0, 0, 0, 0]",0.025455454,4.311172986,1.40937497
"[[-0.0, 0.0, 31.53455812455641], [-0.01745, 0.0, 31.53455812455641], [-0.01745, 0.0, 31.53455812455641], [-0.0, 0.0, 31.53455812455641], [-0.03491, 0.0, 31.53455812455641], [-0.03491, 0.0, 31.53455812455641]]",27.30732636,12.69614,19,"[(0.0, 0.0, 4.257165346815115, 0.0, 0, 0), (4.83359374299332, -1.956144729726941, 7.023492212473483, 0.332506851115255, -0.5321053656341397, -0.01198471940855843), (12.372279371580733, -7.233444356472296, 11.197549274327296, 0.3278740088241256, -0.5645339019823639, 0.0027356080372407726), (23.228226190020074, -13.51172436146843, 13.55937094427288, 0.33491770532918774, -0.4204654156306135, 0.005765728648802105), (35.6863124933146, -20.445262031227365, 15.087743102513974, 0.16140570219082012, -0.5613396786859866, -0.003845687353253248), (49.853003105460104, -24.577533632769022, 14.038911077045926, 0.5035716018805593, 0.05043209521244778, 0.017066214341260925), (55.84719410072025, -23.823801868020436, 12.13541340818991, 0.4824961062975829, 0.2703376399853678, 0.013008362821737021)]","[55.856995577999804, -20.133603768109033, 0, 0, 0, 0]",0.025761974,3.690211117,1.324404264
