id_camino,id_in_seq,current_state,goal_state,out_action,timesteps
36,3,"[22.518769469590342, -15.159966974574171, 14.554460052470306, 0.15022848394139243, -0.7136151456903824, -0.0035163302293374507]","[50.64498789341207, -44.08649434046273, 0, 0, 0, 0]","[-0.0, 0.0]",31.53455812
36,4,"[33.997697383339556, -26.285907982202044, 17.326454836307345, 0.12217174928994436, -0.7990893276410151, -0.0020595446840047625]","[50.64498789341207, -44.08649434046273, 0, 0, 0, 0]","[-0.0, 0.0]",31.53455812
36,5,"[46.333637965055495, -39.86657725105228, 19.279083438959873, 0.1082751977211284, -0.8501489019350754, -0.0012591426188824273]","[50.64498789341207, -44.08649434046273, 0, 0, 0, 0]","[-0.05236, 0.0]",31.53455812
36,6,"[50.63909652562352, -43.37737018337765, 19.22576793569603, 0.7642170811693256, -0.44471071884903024, 0.043660493587998714]","[50.64498789341207, -44.08649434046273, 0, 0, 0, 0]",[],31.53455812
37,0,"[0.0, 0.0, 4.257165346815115, 0.0, 0, 0]","[58.08882092247964, -38.35302320745616, 0, 0, 0, 0]","[-0.0, 0.0]",31.53455812
37,1,"[4.833593742993324, -1.9561447297269416, 7.023492212473488, 0.33250685111525674, -0.53210536563414, -0.011984719408558431]","[58.08882092247964, -38.35302320745616, 0, 0, 0, 0]","[-0.0, 0.0]",31.53455812
37,2,"[11.979867312536674, -8.052150652242632, 11.837087637947002, 0.17058715791727982, -0.77292302029129, -0.004711596121476739]","[58.08882092247964, -38.35302320745616, 0, 0, 0, 0]","[-0.0, 0.0]",31.53455812
37,3,"[21.292890374354343, -18.513718144092813, 16.015517041697404, 0.12034007333369605, -0.8756890507213422, -0.0021869901384054084]","[58.08882092247964, -38.35302320745616, 0, 0, 0, 0]","[-0.01745, 0.0]",31.53455812
37,4,"[34.182430027578086, -29.692869943597202, 17.729530066167747, 0.33682512895158256, -0.5187235994625651, 0.011392939086455917]","[58.08882092247964, -38.35302320745616, 0, 0, 0, 0]","[-0.01745, 0.0]",31.53455812
37,5,"[50.21848775760327, -35.90821806379982, 16.468467767504446, 0.3500918737662269, -0.18836054730757176, 0.009206788298277743]","[58.08882092247964, -38.35302320745616, 0, 0, 0, 0]","[-0.0, 0.0]",31.53455812
