id_camino,id_in_seq,initial_state,current_state,goal_state,out_action,timesteps
130,5,"[0, 0, 0.9355885950885915, -0.41588574396610994, -0.41828554785714195, 0]","[2.2531231861323797, -2.0576515575722105, 5.371979844685392, 0.5519280867982902, -0.5451161937923439, 0.015576448639312415]","[18.723767437044643, -4.492004469558796, 0, 0, 0.5235987755982988, 0]","[-0.08727, 0.03171124187154174]",6.306911625
130,6,"[0, 0, 0.9355885950885915, -0.41588574396610994, -0.41828554785714195, 0]","[3.195787184613666, -2.720271227947169, 6.14131565894368, 0.5027096668967358, -0.47749027372465724, 0.016954879803270106]","[18.723767437044643, -4.492004469558796, 0, 0, 0.5235987755982988, 0]","[-0.08727, 0.06342248374308349]",6.306911625
130,7,"[0, 0, 0.9355885950885915, -0.41588574396610994, -0.41828554785714195, 0]","[4.333138678691572, -3.316579234583388, 6.74447761274764, 0.41634457682423776, -0.32910972902693847, 0.030382542914572912]","[18.723767437044643, -4.492004469558796, 0, 0, 0.5235987755982988, 0]","[-0.06981, 0.06342248374308349]",6.306911625
130,8,"[0, 0, 0.9355885950885915, -0.41588574396610994, -0.41828554785714195, 0]","[5.637840342388369, -3.7520070454618044, 7.073642297932914, 0.36286923053523523, -0.18714307738188882, 0.02674617073721734]","[18.723767437044643, -4.492004469558796, 0, 0, 0.5235987755982988, 0]","[-0.08727, 0.03171124187154174]",6.306911625
130,9,"[0, 0, 0.9355885950885915, -0.41588574396610994, -0.41828554785714195, 0]","[7.019409837082934, -4.039672303650043, 7.042375234915641, 0.5390283446139161, -0.06446359269592576, 0.02202604115893356]","[18.723767437044643, -4.492004469558796, 0, 0, 0.5235987755982988, 0]","[-0.08727, 0.0]",6.306911625
130,10,"[0, 0, 0.9355885950885915, -0.41588574396610994, -0.41828554785714195, 0]","[8.416225256586662, -4.192945017518607, 7.00516255950375, 0.7481828449171629, 0.03996000280658475, 0.014177006826760931]","[18.723767437044643, -4.492004469558796, 0, 0, 0.5235987755982988, 0]","[-0.10472, 0.03171124187154174]",6.306911625
130,11,"[0, 0, 0.9355885950885915, -0.41588574396610994, -0.41828554785714195, 0]","[9.771776377721277, -4.203809904183398, 6.534118654401358, 0.6044221134458083, 0.1577709827686553, 0.02414407388064702]","[18.723767437044643, -4.492004469558796, 0, 0, 0.5235987755982988, 0]","[-0.10472, 0.0]",6.306911625
130,12,"[0, 0, 0.9355885950885915, -0.41588574396610994, -0.41828554785714195, 0]","[11.032822711798348, -4.081027165221604, 6.1052619601046345, 0.8050165411214932, 0.26951369734672287, 0.013854223113393677]","[18.723767437044643, -4.492004469558796, 0, 0, 0.5235987755982988, 0]","[-0.0, 0.0]",6.306911625
130,13,"[0, 0, 0.9355885950885915, -0.41588574396610994, -0.41828554785714195, 0]","[12.200147232413663, -3.9207908279883927, 5.71253158573775, 0.44348230292879454, 0.1716237946924727, -0.016666952181879822]","[18.723767437044643, -4.492004469558796, 0, 0, 0.5235987755982988, 0]","[-0.0, 0.0]",6.306911625
130,14,"[0, 0, 0.9355885950885915, -0.41588574396610994, -0.41828554785714195, 0]","[13.313539603669506, -3.8785054964986134, 5.50130166340647, 0.46764211928362587, 0.06568593669166199, -0.017370529475301356]","[18.723767437044643, -4.492004469558796, 0, 0, 0.5235987755982988, 0]","[-0.05236, 0.0]",6.306911625
130,15,"[0, 0, 0.9355885950885915, -0.41588574396610994, -0.41828554785714195, 0]","[14.404800985611319, -3.943690551524541, 5.452213601171112, 0.6458942596315388, 0.03540483858882805, -0.00471238929659582]","[18.723767437044643, -4.492004469558796, 0, 0, 0.5235987755982988, 0]","[-0.0, 0.0]",6.306911625
130,16,"[0, 0, 0.9355885950885915, -0.41588574396610994, -0.41828554785714195, 0]","[15.493290992887102, -4.067678159195991, 5.54524733101327, 0.4704065443377783, -0.07596401639737832, -0.018000683490383217]","[18.723767437044643, -4.492004469558796, 0, 0, 0.5235987755982988, 0]","[-0.10472, 0.03171124187154174]",6.306911625
130,17,"[0, 0, 0.9355885950885915, -0.41588574396610994, -0.41828554785714195, 0]","[16.582813154555033, -4.25453684663799, 5.471442189274644, 0.6192578431263626, -0.02143716750224023, 0.015372635044651854]","[18.723767437044643, -4.492004469558796, 0, 0, 0.5235987755982988, 0]","[-0.10472, 0.06342248374308349]",6.306911625
130,18,"[0, 0, 0.9355885950885915, -0.41588574396610994, -0.41828554785714195, 0]","[17.650424928644842, -4.33543132612312, 5.240473860240018, 0.5345958449284964, 0.09573502570814897, 0.021699331060088794]","[18.723767437044643, -4.492004469558796, 0, 0, 0.5235987755982988, 0]","[-0.10472, 0.06342248374308349]",6.306911625
130,19,"[0, 0, 0.9355885950885915, -0.41588574396610994, -0.41828554785714195, 0]","[18.65246702320014, -4.296927224961968, 4.787372833814425, 0.5503030843582875, 0.20980383242743963, 0.017785821402762903]","[18.723767437044643, -4.492004469558796, 0, 0, 0.5235987755982988, 0]",[],6.306911625
131,0,"[0, 0, 2.7340246839028084, -0.45529437886017526, -0.1650147221708148, 0]","[0.0, 0.0, 2.7340246839028084, -0.45529437886017526, -0.1650147221708148, 0]","[7.128765538559902, -2.8346696292784976, 0, 0, 0.5235987755982988, 0]","[-0.10472, 0.19026745122925046]",6.306911625
131,1,"[0, 0, 2.7340246839028084, -0.45529437886017526, -0.1650147221708148, 0]","[0.5403148770969893, -0.12782274903867286, 2.5866306456281984, 0.4121739596802188, -0.08550217573672161, 0.026229676247850036]","[7.128765538559902, -2.8346696292784976, 0, 0, 0.5235987755982988, 0]","[-0.10472, 0.06342248374308349]",6.306911625
131,2,"[0, 0, 2.7340246839028084, -0.45529437886017526, -0.1650147221708148, 0]","[1.0425281424322856, -0.2899161359360802, 2.553395472689034, 0.8541721261439577, -0.033495434457117654, -0.006909870395759429]","[7.128765538559902, -2.8346696292784976, 0, 0, 0.5235987755982988, 0]","[-0.06981, 0.06342248374308349]",6.306911625
131,3,"[0, 0, 2.7340246839028084, -0.45529437886017526, -0.1650147221708148, 0]","[1.53825465573541, -0.48465171194884954, 2.6191456336992913, 0.8090457117325056, -0.10758548166919554, -0.016656117861040494]","[7.128765538559902, -2.8346696292784976, 0, 0, 0.5235987755982988, 0]","[-0.10472, 0.09513372561462523]",6.306911625
131,4,"[0, 0, 2.7340246839028084, -0.45529437886017526, -0.1650147221708148, 0]","[2.045534344116124, -0.7038011414636182, 2.820314791321841, 1.0654024795811594, -0.15578702338172365, -0.025468307596112284]","[7.128765538559902, -2.8346696292784976, 0, 0, 0.5235987755982988, 0]","[-0.10472, 0.09513372561462523]",6.306911625
131,5,"[0, 0, 2.7340246839028084, -0.45529437886017526, -0.1650147221708148, 0]","[2.5878094375752907, -0.9737746174465362, 3.147794976355765, 1.0074843811433292, -0.22568976270202692, -0.022926671249867428]","[7.128765538559902, -2.8346696292784976, 0, 0, 0.5235987755982988, 0]","[-0.10472, 0.09513372561462523]",6.306911625
131,6,"[0, 0, 2.7340246839028084, -0.45529437886017526, -0.1650147221708148, 0]","[3.1919417106549974, -1.2802518380225456, 3.5747327813493133, 0.9342833638532437, -0.26674166969434293, -0.01637552250120636]","[7.128765538559902, -2.8346696292784976, 0, 0, 0.5235987755982988, 0]","[-0.10472, 0.09513372561462523]",6.306911625
131,7,"[0, 0, 2.7340246839028084, -0.45529437886017526, -0.1650147221708148, 0]","[3.8793888551382163, -1.6112244791044585, 4.029111233239357, 0.8805256165861013, -0.2680740363267057, -0.009894857639156358]","[7.128765538559902, -2.8346696292784976, 0, 0, 0.5235987755982988, 0]","[-0.10472, 0.09513372561462523]",6.306911625
131,8,"[0, 0, 2.7340246839028084, -0.45529437886017526, -0.1650147221708148, 0]","[4.659318255357169, -1.9441377926440429, 4.438485753778656, 0.8511147253869321, -0.233451208948259, -0.004806822488795482]","[7.128765538559902, -2.8346696292784976, 0, 0, 0.5235987755982988, 0]","[-0.10472, 0.06342248374308349]",6.306911625
131,9,"[0, 0, 2.7340246839028084, -0.45529437886017526, -0.1650147221708148, 0]","[5.520273038172801, -2.268043563793463, 4.742041260978706, 0.5501725578004973, -0.1873564098714214, 0.015541516252390865]","[7.128765538559902, -2.8346696292784976, 0, 0, 0.5235987755982988, 0]","[-0.10472, 0.09513372561462523]",6.306911625
131,10,"[0, 0, 2.7340246839028084, -0.45529437886017526, -0.1650147221708148, 0]","[6.455945058227402, -2.494990236894227, 4.8818846804365466, 0.842260327301333, -0.07378984949555724, 0.00034226310001489186]","[7.128765538559902, -2.8346696292784976, 0, 0, 0.5235987755982988, 0]","[-0.10472, 0.06342248374308349]",6.306911625
131,11,"[0, 0, 2.7340246839028084, -0.45529437886017526, -0.1650147221708148, 0]","[7.128315543274168, -2.632287900459767, 4.850276010410569, 0.5250828857017995, -0.0417251859061858, 0.01678144660028113]","[7.128765538559902, -2.8346696292784976, 0, 0, 0.5235987755982988, 0]",[],6.306911625
132,0,"[0, 0, 1.9089118968490262, -0.19168769551533094, -0.100081760614177, 0]","[0.0, 0.0, 1.9089118968490262, -0.19168769551533094, -0.100081760614177, 0]","[11.467154691384717, -8.122235883038321, 0, 0, 0.5235987755982988, 0]","[-0.08727, 0.06342248374308349]",6.306911625
132,1,"[0, 0, 1.9089118968490262, -0.19168769551533094, -0.100081760614177, 0]","[0.38183420903189974, -0.11624483139691041, 2.013483779597684, 0.8589469478170381, -0.07011004151118076, -0.007352721774591513]","[11.467154691384717, -8.122235883038321, 0, 0, 0.5235987755982988, 0]","[-0.0, 0.19026745122925046]",6.306911625
