,path,actions,distance,cost,mean_distance,end_message,time,sqrt(trajectory MSE),distance_to_target,mean_distance_in_trajectory,k_value
10,"[[  0.           0.        ]
 [  4.62284258  -1.20271866]
 [ 11.96930537  -6.36681456]
 [ 22.69230388 -13.96060568]
 [ 35.66644531 -21.83530304]
 [ 49.289486   -30.06746324]
 [ 64.17239811 -36.85719387]
 [ 78.33002003 -37.72722994]
 [ 80.53278852 -36.84945175]]",[[0 0]],,0,,End,0.70391845703125,1.276382974785974,0.20433363538177515,1.427339068330485,0.45503351845839546
11,"[[ 7.10542736e-15  0.00000000e+00]
 [ 5.39862011e+00 -1.70087348e+00]
 [ 1.30832541e+01 -7.13380597e+00]
 [ 2.37808447e+01 -1.45621896e+01]
 [ 3.73890638e+01 -2.11637833e+01]
 [ 5.05293506e+01 -2.28649058e+01]
 [ 5.30912767e+01 -2.17800786e+01]]",[[0 0]],,0,,End,0.7150559425354004,2.241525074371295,0.20912234466666185,2.4082476720425623,0.4062994459246269
12,"[[-7.10542736e-15  0.00000000e+00]
 [ 5.10416022e+00 -1.81144903e+00]
 [ 1.30614181e+01 -6.54861506e+00]
 [ 2.40795835e+01 -1.22933363e+01]
 [ 3.69110245e+01 -1.73388536e+01]
 [ 4.99750664e+01 -1.90099632e+01]
 [ 5.65461882e+01 -1.69233246e+01]]",[[0 0]],,0,,End,0.43487977981567383,0.9984935636666402,0.7303148718536565,0.17458110651895756,0.2863678381985614
13,"[[  0.           0.        ]
 [  4.72668406  -1.59166696]
 [ 12.47605141  -5.91924964]
 [ 23.52677148 -11.34248173]
 [ 36.26561026 -16.58089486]
 [ 49.05635564 -21.1426305 ]
 [ 61.68643449 -23.7752206 ]
 [ 72.93417279 -23.23495104]
 [ 76.97569399 -21.34833888]]",[[0 0]],,0,,End,0.9825963973999023,2.169087976275359,0.2253814934742181,1.514000334220509,0.27441074305311713
14,"[[ 0.          0.        ]
 [ 4.05345819 -1.44850049]
 [11.65685941 -4.03582687]
 [20.64996224 -6.04332226]
 [29.37522642 -7.06145255]
 [37.5893388  -7.77932193]
 [45.40927489 -8.67693449]
 [52.87497526 -9.50601617]
 [59.5198414  -9.86601643]
 [64.3554069  -9.78614939]
 [65.74579444 -9.62554818]]",[[0 0]],,0,,End,1.7457211017608643,5.115313147121541,0.42978195243288536,1.661732352533128,0.13986850876929877
15,"[[ 0.00000000e+00  8.88178420e-16]
 [ 4.80481769e+00 -1.23010768e+00]
 [ 1.23594941e+01 -3.39124271e+00]
 [ 2.08293393e+01 -5.08014304e+00]
 [ 2.91738101e+01 -6.02902811e+00]
 [ 3.73048409e+01 -6.67305869e+00]
 [ 4.48257050e+01 -7.07327670e+00]
 [ 5.11305993e+01 -7.00195680e+00]
 [ 5.53796187e+01 -6.64420847e+00]]",[[0 0]],,0,,End,0.9342401027679443,5.20815871912025,0.5802335103140049,1.4147166835333858,0.10949831547860439
16,"[[  0.           0.        ]
 [  5.05049205  -1.36217923]
 [ 12.57978538  -5.87718667]
 [ 23.48528506 -12.20848654]
 [ 36.67765481 -18.50886812]
 [ 50.10827909 -24.92613762]
 [ 63.93129612 -30.09301219]
 [ 77.90680916 -30.4376744 ]
 [ 82.26182227 -27.92849677]]",[[0 0]],,0,,End,0.7724487781524658,1.1520021998824133,0.2804296894504977,1.5890507897473496,0.336098402830103
17,"[[ 0.00000000e+00  3.55271368e-15]
 [ 4.93553487e+00 -1.28870770e+00]
 [ 1.23896390e+01 -5.85012396e+00]
 [ 2.32626928e+01 -1.23771033e+01]
 [ 3.64885462e+01 -1.89044404e+01]
 [ 4.99992257e+01 -2.56097559e+01]
 [ 6.40889441e+01 -3.09962403e+01]
 [ 7.80605405e+01 -3.11123170e+01]
 [ 8.15371110e+01 -2.88618369e+01]]",[[0 0]],,0,,End,0.5354952812194824,0.8210689831146815,0.20139904506135914,1.1528005094200184,0.3515017586122531
18,"[[  0.           0.        ]
 [  5.31349553  -1.58527362]
 [ 13.19551756  -5.08750168]
 [ 23.16580983  -8.52448482]
 [ 33.49657097 -10.54549081]
 [ 43.26288477 -11.53265198]
 [ 52.3365244  -12.46708966]
 [ 60.95147346 -13.70343345]
 [ 69.16662833 -14.85950423]
 [ 76.51687264 -15.51489418]
 [ 82.1535289  -15.78050159]
 [ 84.24260626 -16.0874593 ]]",[[0 0]],,0,,End,1.4073882102966309,12.649841482622728,0.00622682795377564,4.788869335634344,0.19089191541345163
19,"[[  0.           0.        ]
 [  4.61688255  -1.33844202]
 [ 11.96451988  -6.64688438]
 [ 22.63972269 -14.40165946]
 [ 35.50455731 -22.56918087]
 [ 49.01201455 -31.11968985]
 [ 64.07850294 -37.97288687]
 [ 77.71212769 -38.737822  ]
 [ 79.2256928  -38.13662942]]",[[0 0]],,0,,End,0.6433191299438477,0.45020152964785787,0.20228877118373456,0.4916307457518247,0.4788136184991506
