id_path,path,end_message,time,sqrt(trajectory MSE),distance_to_target,mean_distance_in_trajectory,k_value
10,"[[ 5.12251332e+01 -2.08957409e+01]
 [ 4.57432307e+01 -1.91256205e+01]
 [ 3.80110402e+01 -1.36008015e+01]
 [ 2.72585725e+01 -6.18515514e+00]
 [ 1.35325576e+01  4.26757950e-02]
 [ 1.44569036e+00  1.09070854e+00]
 [ 0.00000000e+00  1.63908822e-01]]",End,0.496192455,1.57983736,0.163908822,0.907253235,0.407919698
11,"[[43.60367026 -6.82176218]
 [37.58187004 -5.33556897]
 [29.84359557 -2.31995051]
 [20.43676718  0.56409358]
 [10.17127847  1.91571807]
 [ 1.9803283   1.15843376]
 [ 0.          0.19802712]]",End,0.269042253,2.872005573,0.198027121,0.74767975,0.156449265
12,"[[ 75.17393365 -10.10590363]
 [ 71.0608041   -8.69662861]
 [ 63.63061959  -6.32463508]
 [ 55.17683887  -4.86750275]
 [ 47.38972155  -4.45319156]
 [ 40.42508063  -4.05332555]
 [ 33.68774741  -3.1343238 ]
 [ 26.51542729  -1.89370393]
 [ 18.73682383  -0.61592107]
 [ 10.88686861   0.33206894]
 [  4.10019927   0.62239072]
 [  0.           0.50200161]]",End,0.585127115,3.498708562,0.502001612,0.958039461,0.134433615
13,"[[ 77.96030811 -23.27528644]
 [ 73.1529957  -21.74726314]
 [ 65.49541648 -17.31938736]
 [ 54.44519357 -11.51857509]
 [ 41.45197674  -5.7527564 ]
 [ 28.41086477  -0.33632526]
 [ 15.09235935   3.09948989]
 [  2.95657547   2.29986391]
 [  0.           0.14149814]]",End,0.409919739,1.255383203,0.14149814,1.96225648,0.298553033
14,"[[ 65.56259185 -16.18398431]
 [ 61.06557304 -14.49242379]
 [ 53.17250163 -10.25693215]
 [ 42.17358562  -5.25470773]
 [ 29.76520589  -0.67869633]
 [ 17.35452524   2.37476843]
 [  5.92402281   2.53305121]
 [  0.           0.63481488]]",End,0.362030745,0.799159147,0.634814882,0.846888924,0.246847842
15,"[[ 71.45203777 -20.82358624]
 [ 66.87052956 -19.23245916]
 [ 59.15279401 -14.7510053 ]
 [ 48.0210866   -9.01107589]
 [ 35.08827468  -3.28476029]
 [ 22.06127118   1.59627753]
 [  8.72791855   3.31309255]
 [  0.           1.07761363]]",End,0.378987074,3.172499149,1.077613628,2.131043358,0.291434463
16,"[[ 46.98926998 -17.95417894]
 [ 41.31957996 -15.982193  ]
 [ 33.40923536 -10.40854324]
 [ 22.3985149   -3.56587579]
 [  8.78655311   1.05856922]
 [  0.           0.716846  ]]",End,0.226730347,1.31371104,0.716846,1.222751183,0.382091038
17,"[[ 70.70856079 -21.55458905]
 [ 66.10158485 -19.98885059]
 [ 58.42646211 -15.43562383]
 [ 47.30546538  -9.48707247]
 [ 34.2835935   -3.47964953]
 [ 21.09294516   1.69706756]
 [  7.4214578    3.26411181]
 [  0.           0.81209689]]",End,0.376963139,1.438277989,0.812096891,0.515591897,0.30483705
18,"[[ 56.00783059 -19.41922125]
 [ 50.76268704 -17.6634629 ]
 [ 42.94751747 -12.53122898]
 [ 32.01109445  -5.87018205]
 [ 18.73137682   0.18904704]
 [  5.05096505   2.18863999]
 [  0.           0.41469049]]",End,0.27136898,1.340067632,0.414690491,1.026677621,0.346723325
19,"[[ 55.85699558 -20.13360377]
 [ 50.5927143  -18.40401872]
 [ 42.8197505  -13.21262617]
 [ 31.93770434  -6.36319448]
 [ 18.59541603  -0.0910225 ]
 [  4.82284209   2.01802214]
 [  0.           0.3764674 ]]",End,0.254002094,0.714186767,0.376467405,0.795708986,0.3604491
20,"[[73.22663714 -9.77929325]
 [69.21018869 -8.37201913]
 [61.77023499 -6.0059318 ]
 [53.27988816 -4.52440541]
 [45.45625445 -4.06714516]
 [38.43146341 -3.64620808]
 [31.61562865 -2.72250609]
 [24.35002735 -1.48395902]
 [16.58856503 -0.26734576]
 [ 9.03958262  0.50863001]
 [ 2.85909796  0.63247637]
 [ 0.          0.50664224]]",End,0.474315643,3.063204197,0.506642242,0.916658691,0.133548305
21,"[[ 69.81911015 -20.57107653]
 [ 65.23132517 -18.96988328]
 [ 57.50520004 -14.44504493]
 [ 46.36781258  -8.63796065]
 [ 33.41980622  -2.83024327]
 [ 20.31260617   1.98283906]
 [  6.96614871   3.19330768]
 [  0.           0.7625665 ]]",End,0.371278524,2.067204956,0.762566503,0.97367936,0.294633897
22,"[[ 7.13659335e+01 -1.54951348e+01]
 [ 6.70549572e+01 -1.38632419e+01]
 [ 5.92100295e+01 -1.00115045e+01]
 [ 4.85272544e+01 -5.75932833e+00]
 [ 3.68057693e+01 -2.27985919e+00]
 [ 2.52135707e+01  6.77578521e-02]
 [ 1.47092076e+01  1.19532603e+00]
 [ 6.05065370e+00  1.07681927e+00]
 [ 8.66449415e-01  3.18908776e-01]
 [ 0.00000000e+00  6.87347939e-02]]",End,0.554514647,1.510273106,0.068734794,1.807922894,0.217122289
23,"[[ 7.95972963e+01 -1.91355162e+01]
 [ 7.47387368e+01 -1.75124918e+01]
 [ 6.68923735e+01 -1.34376491e+01]
 [ 5.60757847e+01 -8.67289087e+00]
 [ 4.39931503e+01 -4.53717216e+00]
 [ 3.18186377e+01 -1.42128979e+00]
 [ 2.04184732e+01  4.27300382e-01]
 [ 1.05086884e+01  1.00349467e+00]
 [ 2.97199752e+00  4.52157498e-01]
 [ 0.00000000e+00 -3.21885719e-02]]",End,0.381147385,13.2664536,0.032188572,2.925408977,0.240404098
24,"[[ 73.95357706 -24.88071807]
 [ 69.3016661  -23.46733338]
 [ 61.8068011  -18.88510707]
 [ 50.80854693 -12.54264609]
 [ 37.63288485  -6.05813576]
 [ 24.26435894   0.14141343]
 [  9.87987987   3.21971397]
 [  0.           1.10194494]]",End,0.307223558,3.528890473,1.10194494,2.299983197,0.336436979
25,"[[ 57.66520238 -13.59505204]
 [ 52.78543162 -11.82790738]
 [ 44.79940685  -7.6231433 ]
 [ 33.98923447  -2.81445847]
 [ 21.81362809   1.22777342]
 [  9.68057393   2.87439734]
 [  0.97214482   1.36230214]
 [  0.           0.11459553]]",End,0.332683086,3.781639109,0.114595532,1.727722099,0.235758334
26,"[[ 44.71975577 -14.22863738]
 [ 38.91911508 -12.19400647]
 [ 30.8867923   -7.07908268]
 [ 19.87774044  -1.42578141]
 [  7.03967011   1.63916697]
 [  0.           0.64664171]]",End,0.221556187,1.27357068,0.646641714,0.235596687,0.318173414
27,"[[ 66.71399307 -19.25671016]
 [ 62.09487416 -17.60613518]
 [ 54.30308043 -13.05526386]
 [ 43.16515852  -7.30576456]
 [ 30.28441478  -1.63535928]
 [ 17.14547107   2.61053644]
 [  4.41950795   2.76343318]
 [  0.           0.40096436]]",End,0.296569586,0.702486879,0.400964363,0.869648368,0.288645744
28,"[[ 42.19464154 -11.73471514]
 [ 36.26073298  -9.73611107]
 [ 28.24082677  -5.09218778]
 [ 17.47232726  -0.35702363]
 [  5.52889958   1.64097026]
 [  0.           0.48146324]]",End,0.21575284,0.900683916,0.481463244,0.303652509,0.278109132
